Participant,Condition,SCR_Peak_Time,SCR_Amplitude
sub-01,empty_bright,5.2,1.4740628060253531
sub-01,empty_bright,23.5,0.17284134910394222
sub-01,empty_bright,30.6,0.22312378352062012
sub-01,empty_bright,38.8,0.14540713345617284
sub-01,empty_bright,49.9,0.040675150968176865
sub-01,empty_bright,60.7,0.08925162317766677
sub-01,empty_bright,71.3,0.047903946772407835
sub-01,empty_bright,73.7,0.02184053058969404
sub-01,empty_bright,86.6,0.02711613026242965
sub-01,empty_bright,87.8,0.02243532773827539
sub-01,empty_bright,113.1,0.026351511012276063
sub-01,empty_bright,114.9,0.038854293265261575
sub-01,empty_bright,116.4,0.05067760989812342
sub-01,empty_bright,127.8,0.03818983910809415
sub-01,empty_bright,129.4,0.04103509894848312
sub-01,empty_bright,131.1,0.05582758414939981
sub-01,empty_bright,152.0,0.0309420921905188
sub-01,empty_bright,153.5,0.036057499770882906
sub-01,empty_bright,162.3,0.03225933994724173
sub-01,empty_bright,183.2,0.02430880791470713
sub-01,empty_bright,203.6,0.02080043627622441
sub-01,empty_bright,226.8,0.03035644923886327
sub-01,empty_bright,251.1,0.028693472828289046
sub-01,empty_bright,260.2,0.04092718047671884
sub-01,empty_dark,138.7,0.0420913356133239
sub-01,empty_dark,149.2,0.021990567208913347
sub-01,empty_dark,152.0,0.04476828685219658
sub-01,empty_dark,179.3,0.024672057725704022
sub-01,full_bright,7.0,0.13500532565191925
sub-01,full_bright,10.5,0.7014658595442249
sub-01,full_bright,20.3,0.6260781640464668
sub-01,full_bright,27.6,0.14774690983190553
sub-01,full_bright,34.7,0.0846926632386058
sub-01,full_bright,44.2,0.02647133032203719
sub-01,full_bright,46.2,0.06904359935214188
sub-01,full_bright,49.4,0.20350388588374457
sub-01,full_bright,60.1,0.8599969251439319
sub-01,full_bright,73.1,0.3686408611632075
sub-01,full_bright,82.2,0.3922685453474628
sub-01,full_bright,90.4,0.16922251978504121
sub-01,full_bright,106.3,0.02778628283765272
sub-01,full_bright,115.6,0.21877345948763427
sub-01,full_bright,125.2,0.19230124182985975
sub-01,full_bright,142.5,0.022531078915100977
sub-01,full_bright,158.7,0.03291714760499964
sub-01,full_bright,160.0,0.038271802091857765
